json_data,list-card-link href,list-card-addr,list-card-type,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-variable-text,list-card-link src,list-card-save-content,list-card-truncate
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13225 60th Ave # 2, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13225 60th Ave # 2"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.744062,""longitude"":-73.832622},""url"":""/homedetails/13225-60th-Ave-2-Flushing-NY-11355/2082637690_zpid/""}",https://www.zillow.com/homedetails/13225-60th-Ave-2-Flushing-NY-11355/2082637690_zpid/,"13225 60th Ave # 2, Flushing, NY 11355",Apartment for rent,"$2,200/mo",3,bds,2,ba,--,sqft,2 minutes ago,https://photos.zillowstatic.com/p_e/ISzvm21bb7miqm1000000000.jpg,Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Pidgeon Meadow Rd, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Pidgeon Meadow Rd"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.74898,""longitude"":-73.79658},""url"":""/homedetails/Pidgeon-Meadow-Rd-Flushing-NY-11365/2082639089_zpid/""}",https://www.zillow.com/homedetails/Pidgeon-Meadow-Rd-Flushing-NY-11365/2082639089_zpid/,"Pidgeon Meadow Rd, Flushing, NY 11365",Apartment for rent,"$1,100/mo",1,bd,1,ba,--,sqft,2 hours ago,https://photos.zillowstatic.com/p_e/ISzjps5q4imb831000000000.jpg,Save this home,C's Realty
,"https://www.zillow.com/b/7311-153rd-St-Flushing-NY/40.730543,-73.815837_ll/","7311 153rd St, Flushing, NY",For Rent,,"$1,800+",1 bd,"$2,000",2 bds,,,Updated yesterday,https://photos.zillowstatic.com/p_e/ISqlx5k0ffv3o51000000000.jpg,,
,"https://www.zillow.com/b/14741-75th-Ave-Flushing-NY/40.724373,-73.819948_ll/","14741 75th Ave, Flushing, NY",For Rent,,"$1,800+",1 bd,"$2,000",2 bds,,,17 days ago,https://photos.zillowstatic.com/p_e/ISfoz7pt8ayl820000000000.jpg,,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""75th Avenue Flushing Ny #, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""350""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""75th Avenue Flushing Ny #"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72459,""longitude"":-73.81841},""url"":""/homedetails/75th-Avenue-Flushing-Ny--Flushing-NY-11367/2085714015_zpid/""}",https://www.zillow.com/homedetails/75th-Avenue-Flushing-Ny-Flushing-NY-11367/2085714015_zpid/,"75th Avenue Flushing Ny #, Flushing, NY 11367",Apartment for rent,"$1,400/mo",Studio,ba,1,sqft,350,,10 hours ago,https://photos.zillowstatic.com/p_e/IS2rl9jduouqoq0000000000.jpg,Save this home,Realty Depot
,"https://www.zillow.com/b/72-Avenue-2-Kew-Gardens-Hills-NY/40.730357,-73.826282_ll/","72 Avenue 2, Kew Gardens Hills, NY",For Rent,,"$1,800",1 bd,"$2,000+",2 bds,"$2,700+",3 bds,Updated yesterday,https://photos.zillowstatic.com/p_e/ISzfaquiixfo921000000000.jpg,,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""58th Ave, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""58th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.74563,""longitude"":-73.8293},""url"":""/homedetails/58th-Ave-Flushing-NY-11355/2082639950_zpid/""}",https://www.zillow.com/homedetails/58th-Ave-Flushing-NY-11355/2082639950_zpid/,"58th Ave, Flushing, NY 11355",Apartment for rent,"$2,300/mo",3,bds,2,ba,"1,200",sqft,11 hours ago,https://photos.zillowstatic.com/p_e/ISvkz5ml3hxg031000000000.jpg,Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5621 Van Cleef St, Flushing, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,078""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5621 Van Cleef St"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.740659,""longitude"":-73.851792},""url"":""/homedetails/5621-Van-Cleef-St-Flushing-NY-11368/31975201_zpid/""}",https://www.zillow.com/homedetails/5621-Van-Cleef-St-Flushing-NY-11368/31975201_zpid/,"5621 Van Cleef St, Flushing, NY 11368",Apartment for rent,"$2,500/mo",3,bds,1,ba,"3,078",sqft,13 hours ago,"https://maps.googleapis.com/maps/api/streetview?location=40.740659,-73.851792&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=NsXTEv6CFi8DFYBn0hHZ8SkYwLM=",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13320 Avery Ave Fl 4th, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13320 Avery Ave FL 4TH"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.752635,""longitude"":-73.830882},""url"":""/homedetails/13320-Avery-Ave-FL-4TH-Flushing-NY-11355/2082640698_zpid/""}",https://www.zillow.com/homedetails/13320-Avery-Ave-FL-4TH-Flushing-NY-11355/2082640698_zpid/,"13320 Avery Ave FL 4TH, Flushing, NY 11355",Apartment for rent,"$2,800/mo",2,bds,2,ba,"1,200",sqft,15 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13320 Avery Ave, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13320 Avery Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.752636,""longitude"":-73.830883},""url"":""/homedetails/13320-Avery-Ave-Flushing-NY-11355/94721069_zpid/""}",https://www.zillow.com/homedetails/13320-Avery-Ave-Flushing-NY-11355/94721069_zpid/,"13320 Avery Ave, Flushing, NY 11355",Apartment for rent,"$1,950/mo",1,bd,2,ba,750,sqft,15 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
